	target_text	input_text	prefix
0	did you try File Roller ? the defualt archive manager on ubuntu ?	can you open mac .img files in ubuntu? <------ Completely  Ignored ;( 	CHAT
1	can you help me?	hi guys I'm currently running Ubuntu in safe graphics mode on my Asus eeepc 1215N. After installing nvidia kernel modules, X failed to load the next reboot 	CHAT
2	could you explain to me this on PM please :)	ashiwin: If your bad disk won't mount, then you need to make a raw copy of it.  Look at the two ddrescue packages. 	CHAT
3	you might be best off with a web-based option like springpad or backpack. i don't think such a thing really exists in linux. tomboy is nice, but is probably lacking features you expect from evernote.	Anyone know of any good evernote alternatives for Ubuntu? 	CHAT
4	Boker tov Yerushalmi - can you pastebin your fstab?	!ask | euthymos 	CHAT
5	.config/xchat .xchat, have you tried?	Where can I find xchat config file? 	CHAT
6	can you please clarify	anyone knows, for what this command is used for       source dir ==> source as in source code? 	CHAT
7	can you open it with outher apps, just to test	Whenever I try to open any picture with eye of gnome I get an error that 'The given locations contain no images.' I ran it in the terminal and I get lots of libgnomevfs-CRITICAL errors. Can anyone help? 	CHAT
8	have you tried asking this in #openmp ?	I got the following openmp sample code http://paste.ubuntu.com/740680/ and I got no speedup when output->st=1. I suppose that gcc or openmp remove the for loop since the outer loop only have a single iteration. 	CHAT
9	so you've just downloaded the iso, have you tried to mount it within Windows, to install?	ive downloaded ubuntu.iso, my dvd writer is messdup. cant install thru cdrom. ive installed it thru windows but now when i try to follow linux from scratch im havin filesystem problem. any suggestion ?????? ask once dude, we can all see your question 	CHAT
10	did you try sudo ifconfig eth0 up?	So ActionParsnip, how do I fix my problem :/ There is no eth0 in my ifconfig so my LAN doesn't work 	CHAT
11	have you tried logging out and in?	hi all... i have a problem with menus...i had previously tried several programs and uninstalled them, after i uninstalled the programs, i also deleted the program item from the menu using edit menu , BUT when i reinstall the programs, the menu item is not installed!!! how do  i correct this? i need the menu item 	CHAT
12	: can you ping it?	and my mysql deamon doesnt like starting, it wont launch, always fails but ill fix that in a bit ip* 	CHAT
13	have you tried to extract these files.	you do not need wine to download exe files 	CHAT
14	did you try with another Live CD/alternate CD with the options acpi=off and noapic?	hi post your pc config and describe the problem in one simple sentence 	CHAT
15	have you tried Cedega? And did you follow the instructions?	hey, I've got a little problem xD hey, I wanna run WoW with wine, but the game crashes everytime :-( 	CHAT
16	have you tried googling?	hi all, does anyone know how to install hpl on ubuntu 8.04 or just give me guidance on how to do so ? 	CHAT
17	If you do ALT+f1 can you log in on the command line?	there was a powercut last night and because my computer shut down unexpectedly i cannot login. after i enter my password the screen goes black and then asks for the password again. this happened before and was resolved by deleting some file. i had thought rm ~/.cache/sessions/* would do it but it didn't help. can anyone suggest something that might? 	CHAT
18	have you tried this? https://help.ubuntu.com/community/ActiveDirectoryWinbind-SADMS	i am trying to use sadms and likewise open to join a domain but it doesnt work 	CHAT
19	if you detach a tab how can you retach it	anybody here using xchat? 	CHAT
20	have you tried hp.com already?	where can i get the ppd file for HP-LaserJet-100-colorMFP-M175a model? where can i get the ppd file for HP-LaserJet-100-colorMFP-M175a model? 	CHAT
21	have you tried googling for it ?	can anyone give me VLC 0.9.2 .deb file you should be able to get it off the net? 	CHAT
22	did you try portforwarding?	hi, im using transmission torrent, how do i open the ports to allow fast downloads and more extensive seader/leacher search 	CHAT
23	did you try with the network-manager-applet too (I don't know about wicd)	hey im trying to use wicd to connect to my schools wireless netw.  All of the options for networks say hidden next to them and when i try to connect it hangs at obtaining ip addr. last time sorry 	CHAT
24	I have a problem with Wine, can you help me out please ?	hey everyone 	CHAT
25	try going on the console with ctrl+alt+F1, can you login there?	Hi, I have the same problem as this person: http://ubuntuforums.org/showthread.php?t=371052 that is the same error I get when logging in. 	CHAT
26	you might want to have a look at the !coc and the !guidelines	Is there any risk for me attempting to install more than one program at once? I know Windows always made it seem like the OS would implode if I so much as had notepad open go ahead and don't worry, the package manager takes care 	CHAT
27	did you try to ask in ##networking yet?	am I going to have to request help a 4th time? err, guntbert 	CHAT
28	can you boot from any CD on your system?	wait, the advice from n4xus was no good does you system boot from any CD at all? 	CHAT
29	you might want to google for <your computer> hibernate jaunty	Why is hibernate not working? After pressing hibernate button screens gets locked and nothing else happens. I am using jaunty It doesn't for me. 	CHAT
30	can you try it with a live CD/usb key?	I am planing to buy this netbook lenovo ideapad s10-3t. It has a touch  screen monitor and comes with win7 installed. It does not have a free  dos version. Before buying it I wanted to know whether, I can remove win  7 from it and install ubuntu and if ubuntu would support its touch  screen behaviour . 	CHAT
31	probably, but you might want to ask your specific question in #ubuntu-server	does anybody here have server experience does anybody know about servers 	CHAT
32	have you tried sudo apt-get install flash-player?	I'm trying to install flash on x86_64 and I keep getting this error when I try to use nspluginwrapper http://pastebin.ubuntu.com/37785/ How do I fix this, I think I have all the needed libraries. Thanks. 	CHAT
33	have you tried enabling root account and give the root password. It worked for me once	hey all, wanted to confirm this is a bug before I report it.  Using the 'Printer Configuration' I get a 'password required' 'password for <username> on localhost?' however, I'm using LDAP and my username/group (admin) is provided by LDAP not in /etc/groups.  So I cannot edit/change printers 	CHAT
34	you might checkout https://grepular.com/Protecting_a_Laptop_from_Simple_and_Sophisticated_Attacks (and comments), lot of interesting things	what's up? 	CHAT
35	can you post your xorg.conf (/etc/X11/xorg.conf)	any ideas how to make it detect the card? 	CHAT
36	how can you say it is of questionable legality when you don't know where I am?	﻿loquitus_of_bor1: It's called a no-cd crack.... and may be illegal where you are. It involves replacing the main executable of the program with a patched executable that doesn't attempt to check for the disc-protection... I don't really care about the legality. I just want to be able to play the game I payed for without lugging around an external drive, which is utterly moronic 	CHAT
37	the Absolute Beginners Forum contains a lot of threads with problems that are 'typical' for new users, so you might learn a lot over there	I am new to ubuntu.  Where can I learn? reading ubuntuforums.com for example 	CHAT
38	 have you tried reconfiguring xserver?	depends if the router you're behind will let you have one though anyway - i've lost everything on my desktop apart from file icons - no panels, no nothing - tried using the recovery boot to fix Xserver but to no avail - can anyone help? 	CHAT
39	you might want to install the ppa for the newer blueman version https://launchpad.net/~blueman/+archive/ppa	the default is gnome-bluetooth I think I will uninstall it 	CHAT
40	can you ping the linux machine from windows? If so, are the windows machines running a firewall? A lot of windows firewalls like to block everything (including pings)	Guys can You help me?:-( I got a problem with my wireless. I'm trying to run it in ad-hoc mode. In routing mode i seem to be connected but i dont have internet connection and i cant ping serwer despite the linux(client) and windows(servers) shows connection in tray. Windows-windows connection work without problems:( I am using ndiswrapper. Help me i really want to run that network with linux.When i try to configure it in manual way, (writi Yes googled.. I cant find help KleinerHai 	CHAT
41	have you tried taking it out and seeing what happens?	Hi, I am trying to find out why my gnome login time is so long. I suspect compiz is being loaded and replaced more than once. I wonder whether I should have compiz listed in my 'gnome sessions' thing 	CHAT
42	you might be able do that with acl's ... google setfacl	hi, could someone tell me how to limit permissions of a particular user (without having to edit permissions of every file on my system) specifically I'm trying to give a particular user no read access to any directory other than his home dir 	CHAT
43	you might want to do /msg nickserv ghost electric_sheep password, then switch to that nick	hello, anyone know why my name says 'electric_sheel' instead of 'electric_sheep'? it's electric_shee1 with a one, not a lowercase L. The nickname electric_sheep is already in use 	CHAT
44	 i musst g to a german chat can you give me a linkk ??????????ß	i musst g to a german chat can you give me a linkk ??????????ß 	CHAT
45	could you please stop using caps?	DOES ANYBODY KNO HOW TO FORCE A  PROGRAM TO QUIT I AM VERY NEW, DO I PUT THIS IN THE TERMINAL 	CHAT
46	have you tried restarting gnome-settings-daemon?	i just updated to ubuntu 11.10 but something failed. About 3/4 of my icons are missing or replace with a default ugly window icon. Don't know what's wrong with them. Do you have any ideas? 	CHAT
47	you might be able to use chroo for that	Is there a way to run dpkg so that it takes /dir as /   ?  This is the case that I have an old system mounted in /mnt aand I'd like to run dpkg in it not inside my main ubuntu system 	CHAT
48	hey guys, can you see my message?	I have been trying to enable internet connection sharing on my Ubuntu Hardy since morning, so far it's been a total fail. Have been fiddling with Firestarter (install/uninstall more than 10 times!). My laptop (192.168.0.2) can ping the Ubuntu (192.168.0.1) but sharing still fails. Any help? 	CHAT
49	if that works, you might also want to do this: echo 'floppy' | sudo tee -a /etc/modules	can anyone tell me how to get my floppy drive back? It has disappeared from the 'computer' panel try sudo modprobe floppy 	CHAT
50	the error message says it's either the install media (cd/dvd) or your hard drive. have you tried another media?	excuse me, I`m trying to install ubuntu 11.10, and this appears in the middle of the installation http://imageshack.us/photo/my-images/89/screenshotat20111027051.png/ 	CHAT
51	have you tried the mouse on anothe rpc neo?	swap mouse reboot lol 	CHAT
52	with the desktop CD you can give special boot options that can sometimes get Ubuntu to boot when otherwise it won't - have you tried specifying these at the boot menu? (there's a list you can bring up if you hit one of the F keys, I think it might be F4	I am trying to install Ubuntu 8.10 32-bit desktop on a Lenovo Thinkpad T500 however after booting up the Ubuntu LiveCD drops to a shell. Anyone know what is going on? I have successfully used this disc before to install on another machine. 	CHAT
53	could you suggest an example?	use a simple window manager 	CHAT
54	odd.. have you tried http://ubuntuforums.org/showthread.php?t=789578 yet?	did you by chance install xubuntu? no--just 9.04 gnome ubuntu 	CHAT
55	you might try 'while true.....'	how do I make an infinite while loop running busybox? while [1] produces /bin/sh [1]: not found 	CHAT
56	how long ago did you try this ?	hi guys I have an HD3870, Ubuntu 8.04.1 64-bit and am trying to figure out how to install the ati drivers. I am not sure if I should use the restricted drivers option in ubuntu as this has causes problems for my videocard in the past. Does anyone know of a method to correctly install the drivers? I just installed it 2 minutes ago and it is fully updated 	CHAT
57	have you tried adding it via synaptic?	Anyone know how to bypass not being able to install software from untrusted source? 	CHAT
58	have you tried using ffmpeg to encode them to another format calwig	can someone help me with my wireless problem 	CHAT
59	if it's your bug, you might wanna have given it a more sensible title	can somebody please route me to the appropriate channel so that this bug gets some attention and is triaged quickly? https://bugs.launchpad.net/unity/+bug/791660 	CHAT
60	you might want to change your nick to something more appropriate	nice hello all 	CHAT
61	you might first want to lea_r_n English, so people can understand what you want	how can i lean how to do pine test 	CHAT
62	can you run terminal?	my dash menu wont open, i click it, or hit start button, and its not poping out, it did before wow pretty much anything you can do on ubunty comes to a screeeeeching halt when you cant open the damn dash menu.. wtf 	CHAT
63	did you try jockey or addtional drivers	did you try jockey or addtional drivers 	CHAT
64	have you tried looking it up in synaptic	does anybody know how to install myth tv? if they do would they swend me a chat invite 	CHAT
65	can you log in? can you run startx?	Hi, I've just installed 11.10, all I get is a message 'Mountall: disconnected from Plymouth'   X does not start - Any suggestions? 	CHAT
